BulkDensity,SoilTypeWRB,Longitude,PrecipitationofColdestQuarter,AnnualMeanTemperature,SiltContent,PrecipitationofDriestQuarter,SoilTextureUSDA,Isothermality,SoilOrganicCarbon
1.2,1.3603389090018483,-81.0,225.0,7.320833206176758,0.325,210.0,1.5110718411200368,25.882080078125,0.037
1.2,1.3920641179888917,-81.0,225.0,7.320833206176758,0.325,210.0,1.523808835957873,25.882080078125,0.037
1.4,1.3915917917444325,-81.0,225.0,7.320833206176758,0.365,210.0,1.4166146113178266,25.882080078125,0.019
1.4,1.3849712585042036,-81.0,225.0,7.320833206176758,0.365,210.0,1.4073538181191223,25.882080078125,0.019
1.1,1.3865512581693007,-81.0,225.0,7.320833206176758,0.488,210.0,1.4079536755275737,25.882080078125,0.031
1.23,1.400082677998137,146.0,148.0,15.61666679382324,0.12,94.0,0.9123016392327968,45.65217590332031,0.0115
1.33,1.3841712606399315,146.0,148.0,15.61666679382324,0.12,94.0,0.9529077857416676,45.65217590332031,0.0115
1.5361800000000005,1.4735732651134856,-1.0,562.0,27.94583320617676,0.201,5.0,1.519670044292764,62.47927474975586,0.0077
1.52998,1.7754215170988212,-1.0,562.0,27.94583320617676,0.201,5.0,1.5356014650010894,62.47927474975586,0.0077
1.5426431540300003,1.861724746754781,-1.0,562.0,27.94583320617676,0.201,5.0,1.5494550689195785,62.47927474975586,0.0077
1.54554315403,1.9046034459146142,-1.0,562.0,27.94583320617676,0.201,5.0,1.562530324986458,62.47927474975586,0.0077
1.56,1.4735732651134856,78.6,26.0,26.78750038146973,0.171,13.0,0.9522930717896689,48.14452743530273,0.00684
1.62,1.5357566379256693,78.6,26.0,26.78750038146973,0.175,13.0,1.0814224595793058,48.14452743530273,0.00625
1.41,1.5485148478596857,78.6,26.0,26.78750038146973,0.173,13.0,1.1635239276040414,48.14452743530273,0.00889
1.37,1.641024768532333,78.6,26.0,26.78750038146973,0.179,13.0,1.2713854423106459,48.14452743530273,0.01782
1.05,1.3754835367200005,135.3,330.0,13.73750019073486,0.29,328.0,1.4224951923105273,27.57623481750488,0.0242
1.1,1.4008457261271194,135.3,330.0,13.73750019073486,0.29,328.0,1.459456003112036,27.57623481750488,0.0117
1.15,1.4286989476220644,135.3,330.0,13.73750019073486,0.29,328.0,1.499108041724099,27.57623481750488,0.0064
1.05,1.414408489113115,135.3,330.0,13.73750019073486,0.29,328.0,1.4744719405924003,27.57623481750488,0.0242
1.1,1.409542673313272,135.3,330.0,13.73750019073486,0.29,328.0,1.4646675410848378,27.57623481750488,0.0117
1.15,1.4011693087017025,135.3,330.0,13.73750019073486,0.29,328.0,1.45015951486915,27.57623481750488,0.0064
1.4897715159,1.7874022154198876,-6.2,236.0,18.02083396911621,0.32,21.0,1.4735732651134856,41.19812774658203,0.006
1.09,1.366099496860504,1.4,157.0,13.26666641235352,0.502,146.0,1.6593007954659584,37.937744140625,0.01
1.43,1.3881043443036714,1.4,157.0,13.26666641235352,0.502,146.0,1.6807107860887696,37.937744140625,0.01
1.07,1.3934030168540472,1.4,157.0,13.26666641235352,0.623,146.0,1.2888231160356798,37.937744140625,0.008
1.42,1.4142300872928362,1.4,157.0,13.26666641235352,0.623,146.0,1.3014063387274846,37.937744140625,0.008
1.28,1.4177007526931111,1.4,157.0,13.26666641235352,0.374,146.0,1.4626370389094274,37.937744140625,0.013
1.4,1.4213903759545192,1.4,157.0,13.26666641235352,0.374,146.0,1.4650240692311398,37.937744140625,0.013
1.23,1.4233554740552528,1.4,157.0,13.26666641235352,0.516,146.0,1.6687999433598981,37.937744140625,0.013
1.41,1.429018973183584,1.4,157.0,13.26666641235352,0.516,146.0,1.6638088007651572,37.937744140625,0.013
1.21,1.4321502499486007,1.4,157.0,13.26666641235352,0.58,146.0,1.3052952716862447,37.937744140625,0.012
1.4,1.4436014198734555,1.4,157.0,13.26666641235352,0.58,146.0,1.3144724277913822,37.937744140625,0.012
1.23,1.4446473610667527,1.4,157.0,13.26666641235352,0.302,146.0,1.5755015284095053,37.937744140625,0.013
1.4,1.4506758506497608,1.4,157.0,13.26666641235352,0.302,146.0,1.5775564763085443,37.937744140625,0.013
1.35,1.4503839906930522,1.4,157.0,13.26666641235352,0.502,146.0,1.6548362026917542,37.937744140625,0.01
1.39,1.4525407911019728,1.4,157.0,13.26666641235352,0.502,146.0,1.6470455403874642,37.937744140625,0.01
1.34,1.4511039284064482,1.4,157.0,13.26666641235352,0.623,146.0,1.3174133383744926,37.937744140625,0.008
1.38,1.4521612957102565,1.4,157.0,13.26666641235352,0.623,146.0,1.3204822491618695,37.937744140625,0.008
